"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"1";"";"BATTERY12MM";"BATTCON_12MM";"BAT4";"Battery Holders";"";"";"";"";"BATT-08044";"";
"2";"";"BATTERYAA";"BATTERY-AA";"BAT1, BAT2";"Battery Holders";"";"";"";"";"";"";
"2";"";"CAP0603-CAP";"0603-CAP";"C1, C2";"Capacitor";"";"";"";"";"";"";
"3";"";"CAP0805";"0805";"C5, C6, C7";"Capacitor";"";"";"";"";"";"";
"2";"";"CAP1206";"1206";"C3, C4";"Capacitor";"";"";"";"";"";"";
"1";"";"M04PTH";"1X04";"JP2";"Header 4";"";"";"";"";"";"";
"1";"";"PINHD-1X2";"1X02";"JP4";"PIN HEADER";"";"";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"JP1";"PIN HEADER";"";"";"";"";"";"";
"1";"";"RESISTOR0603-RES";"0603-RES";"R1";"Resistor";"";"";"";"";"";"";
"1";"";"SWITCH-SPDT-SMD-A";"SWITCH-SPST-SMD-A";"S1";"SPDT Switch";"";"";"";"";"";"";
"2";"250mA/100V";"DIODEBAS16";"SOD-323";"D2, D3";"Diode";"";"";"";"";"DIO-09646";"250mA/100V";
"6";"300";"RESISTOR0805-RES";"0805";"R2, R3, R4, R5, R6, R7";"Resistor";"";"";"";"";"";"";
"1";"ADXL362";"ADXL362";"ADXL362";"U1";"Micropower 3-axis accelerometer";"";"";"";"";"IC-11297";"ADXL362";
"1";"BLUE";"LED-BLUE0603";"LED-0603";"D1";"Blue LEDs for production use";"";"";"";"";"DIO-08575";"BLUE";
"1";"JUMPER-PAD-2-NOYES_SILK";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"SJ2";"";"";"";"";"";"";"";
"1";"LDO-TPS78233";"LDO-TPS78233";"SOT23-5";"U2";"Voltage Regulator LDO";"";"";"";"";"";"";
"1";"MC-306";"MC-306";"MC-306";"Q1";"kHz RANGE CRYSTAL UNIT SMD";"";"MC-306 60.0KHZ  100PPM ,12.5PF";"1278040";"31M5576";"";"";
"1";"STM32F303RCT6";"STM32F303RCT6";"LQFP64";"U$1";"";"";"";"";"";"";"";
"1";"SWITCH-MOMENTARY-2SMD";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"S2";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"SWCH-08247";"";
